PM2.5,NO,NH3,CO,SO2,O3,Benzene,AQI,AQI_Bucket
36.33,7.68,12.88,7.68,8.28,43.35,0.0,195.0,Moderate
24.46,8.45,10.99,8.45,12.59,44.55,0.0,220.0,Poor
59.29,9.21,9.68,9.21,5.98,7.69,0.0,217.0,Poor
65.32,10.61,9.62,10.61,3.69,4.74,0.0,254.0,Poor
47.39,9.26,10.48,9.26,7.72,7.71,0.0,241.0,Poor
43.88,8.69,19.75,8.69,4.83,11.53,0.0,244.0,Poor
28.35,9.05,13.62,9.05,7.47,15.95,0.0,243.0,Poor
3.59,11.26,14.17,11.26,9.6,20.38,0.0,244.0,Poor
3.04,16.31,21.5,16.31,13.73,30.05,0.02,327.0,Very Poor
19.14,10.33,30.6,10.33,10.96,29.36,0.0,390.0,Very Poor
69.12,8.85,32.41,8.85,15.63,28.45,0.0,231.0,Poor
76.41,17.96,34.7,17.96,15.44,31.49,0.0,396.0,Very Poor
102.49,33.31,37.85,33.31,27.32,24.85,19.81,731.0,Severe
127.94,11.14,28.38,11.14,25.59,15.17,8.14,466.0,Severe
87.18,7.83,21.51,7.83,6.98,23.17,5.59,230.0,Poor
99.73,20.16,30.23,20.16,32.74,20.91,8.58,309.0,Very Poor
84.15,15.83,32.1,15.83,19.37,23.12,8.34,519.0,Severe
92.12,18.21,32.5,18.21,31.75,29.97,6.26,397.0,Very Poor
94.02,27.14,36.97,27.14,24.88,23.51,10.85,517.0,Severe
150.27,15.9,34.86,15.9,26.35,31.96,9.13,653.0,Severe
118.91,5.42,29.22,5.42,79.47,24.89,6.23,355.0,Very Poor
91.41,5.19,23.45,5.19,25.44,6.25,0.69,227.0,Poor
95.9,10.38,33.63,10.38,30.06,27.34,3.24,316.0,Very Poor
137.87,20.2,32.98,20.2,21.89,17.41,12.76,536.0,Severe
90.71,18.12,25.73,18.12,17.89,26.02,7.32,370.0,Very Poor
108.68,17.03,32.87,17.03,22.59,19.56,12.47,551.0,Severe
98.79,17.72,31.2,17.72,26.09,30.19,8.22,393.0,Very Poor
145.75,20.61,34.71,20.61,24.66,95.94,20.08,671.0,Severe
179.43,52.33,39.42,52.33,39.15,112.01,31.75,969.0,Severe
170.52,15.49,35.22,15.49,34.03,53.98,10.76,471.0,Severe
203.4,23.03,36.63,23.03,94.3,5.36,0.0,529.0,Severe
64.66,4.79,23.83,4.79,34.4,24.76,6.24,213.0,Poor
78.14,10.58,28.93,10.58,44.91,35.56,4.72,297.0,Poor
100.17,32.27,34.16,32.27,27.73,23.95,7.62,605.0,Severe
147.35,34.64,39.1,34.64,46.09,26.43,5.8,691.0,Severe
206.89,145.32,55.67,145.32,20.47,38.0,1.69,971.0,Severe
89.64,5.42,25.75,5.42,44.92,43.04,6.48,270.0,Poor
51.72,1.89,21.15,1.89,37.31,66.58,3.96,188.0,Moderate
54.59,2.31,18.33,2.31,19.08,42.43,3.47,114.0,Moderate
46.5,1.22,12.1,1.22,13.73,61.56,1.9,143.0,Moderate
147.18,33.06,36.87,33.06,21.24,131.12,25.83,557.0,Severe
191.01,39.61,50.11,39.61,40.78,27.9,17.39,354.0,Very Poor
192.35,9.39,29.04,9.39,29.18,33.21,22.88,381.0,Very Poor
127.64,6.74,31.91,6.74,26.94,47.33,9.55,355.0,Very Poor
27.29,9.81,28.12,9.81,1.61,39.26,0.0,272.0,Poor
41.43,10.45,31.82,10.45,1.7,28.05,0.0,253.0,Poor
30.16,10.41,15.99,10.41,1.6,23.76,0.0,256.0,Poor
29.42,9.39,10.11,9.39,1.57,16.42,0.0,257.0,Poor
20.87,9.04,7.49,9.04,1.6,14.27,0.0,213.0,Poor
35.08,8.36,6.52,8.36,1.63,19.44,0.0,218.0,Poor
40.23,8.68,2.79,8.68,1.69,15.16,0.0,214.0,Poor
54.25,8.11,2.78,8.11,1.42,18.46,0.0,207.0,Poor
49.04,7.38,1.65,7.38,1.44,15.33,0.0,169.0,Moderate
46.52,3.87,33.24,3.87,15.0,6.9,0.0,183.0,Moderate
36.54,18.76,20.32,18.76,16.78,11.46,6.37,336.0,Very Poor
36.87,26.51,23.28,26.51,13.74,4.91,4.83,468.0,Severe
46.19,86.72,29.66,86.72,14.31,4.77,5.5,776.0,Severe
48.44,84.21,30.66,84.21,15.67,4.26,1.62,805.0,Severe
40.18,72.58,28.27,72.58,14.63,4.33,0.0,705.0,Severe
33.5,79.53,30.42,79.53,14.95,4.81,0.0,740.0,Severe
29.36,83.72,29.75,83.72,15.31,3.68,0.0,751.0,Severe
44.59,89.85,29.34,89.85,14.18,4.91,0.13,798.0,Severe
50.65,10.63,13.0,10.63,13.06,6.21,33.6,494.0,Severe
33.93,5.06,13.41,5.06,19.54,6.16,3.24,234.0,Poor
93.34,9.72,27.88,9.72,13.18,1.4,0.1,327.0,Very Poor
38.06,6.96,22.63,6.96,14.75,3.47,2.67,257.0,Poor
20.19,10.41,18.13,10.41,15.01,4.9,8.43,300.0,Poor
10.45,12.59,17.81,12.59,14.26,5.87,5.66,309.0,Very Poor
29.87,13.53,14.69,13.53,14.56,9.6,8.99,316.0,Very Poor
60.18,8.64,13.25,8.64,15.3,13.19,3.04,296.0,Poor
85.1,8.14,12.91,8.14,14.51,12.45,2.64,240.0,Poor
55.55,8.38,13.45,8.38,16.6,11.84,3.91,220.0,Poor
170.22,15.47,17.88,15.47,14.21,10.05,3.98,460.0,Severe
35.05,7.66,16.07,7.66,16.13,9.81,3.92,341.0,Very Poor
37.68,6.39,9.49,6.39,16.15,13.7,2.5,216.0,Poor
32.78,6.08,12.1,6.08,12.29,13.13,2.6,174.0,Moderate
53.5,12.0,14.19,12.0,16.32,5.48,7.94,252.0,Poor
48.24,10.91,15.52,10.91,16.16,5.98,6.48,283.0,Poor
63.27,8.82,13.23,8.82,24.81,8.68,4.04,282.0,Poor
40.43,7.42,10.29,7.42,12.24,5.0,2.99,189.0,Moderate
31.15,8.91,9.94,8.91,21.48,12.97,3.07,204.0,Poor
33.76,9.15,12.22,9.15,17.68,8.36,2.68,207.0,Poor
35.95,10.05,9.75,10.05,16.66,8.61,2.59,218.0,Poor
58.07,10.51,8.67,10.51,21.2,19.87,3.49,243.0,Poor
46.04,9.72,8.75,9.72,17.27,10.35,2.09,219.0,Poor
52.27,10.79,9.23,10.79,19.62,9.14,4.67,247.0,Poor
46.68,10.08,9.3,10.08,17.77,15.97,2.98,235.0,Poor
44.59,10.47,7.39,10.47,17.62,11.2,2.88,234.0,Poor
30.81,9.36,7.86,9.36,17.58,15.72,1.96,217.0,Poor
47.67,9.63,8.39,9.63,16.95,18.89,2.41,222.0,Poor
35.69,9.38,8.14,9.38,16.72,14.63,1.77,241.0,Poor
36.44,9.59,7.07,9.59,17.76,14.99,1.53,225.0,Poor
33.83,10.14,7.82,10.14,17.93,13.9,1.49,241.0,Poor
34.23,10.17,7.14,10.17,18.76,13.79,1.35,237.0,Poor
52.15,10.7,7.15,10.7,16.32,14.67,2.75,251.0,Poor
35.99,9.91,8.65,9.91,19.29,18.16,1.77,220.0,Poor
37.93,9.75,9.2,9.75,19.07,15.42,2.23,221.0,Poor
31.94,9.5,7.84,9.5,16.87,14.27,1.12,226.0,Poor
18.04,7.3,7.02,7.3,15.49,19.0,0.61,208.0,Poor
27.9,9.52,9.55,9.52,14.48,21.74,1.28,190.0,Moderate
36.51,10.07,10.68,10.07,18.22,22.56,1.53,250.0,Poor
55.71,11.17,12.86,11.17,17.75,21.14,2.55,280.0,Poor
57.01,13.68,11.99,13.68,18.36,20.81,3.0,306.0,Very Poor
53.94,10.01,12.54,10.01,18.85,24.79,2.72,249.0,Poor
49.34,9.75,8.67,9.75,15.82,26.39,2.02,213.0,Poor
39.43,12.67,10.1,12.67,16.95,11.63,4.34,268.0,Poor
42.33,11.31,9.31,11.31,19.61,15.38,3.78,267.0,Poor
26.75,9.8,6.77,9.8,19.37,17.5,1.94,216.0,Poor
34.16,9.66,5.46,9.66,18.59,17.44,0.63,212.0,Poor
30.07,9.82,5.73,9.82,18.28,17.65,1.65,214.0,Poor
